id,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
bitcoin,Bitcoin,25934.0,505170783253,1,12543220744,26183.0,25575.0,-122.31120688666851,-0.46942,-1874779590.1992188,-0.36975,69045.0,-62.41306,2021-11-10T14:24:11.849Z,67.81,38171.9383,2013-07-06T00:00:00.000Z
ethereum,Ethereum,1643.74,197714649390,2,10421599453,1666.29,1597.41,-20.469917190788692,-1.23001,-2144792606.7240295,-1.07315,4878.26,-66.28483,2021-11-10T14:24:19.604Z,0.432979,379760.08334,2015-10-20T00:00:00.000Z
tether,Tether,1.001,82844515691,3,14974278845,1.004,0.996619,0.00190287,0.19043,50310711.0,0.06077,1.32,-24.4277,2018-07-24T00:00:00.000Z,0.572521,74.6475,2015-03-02T00:00:00.000Z
binancecoin,BNB,214.77,33088471047,4,819517650,216.38,204.21,5.62,2.68699,902528464.0,2.80411,686.31,-68.66399,2021-05-10T07:24:17.097Z,0.0398177,540014.32955,2017-10-19T00:00:00.000Z
ripple,XRP,0.518919,27462950643,5,1087987220,0.522798,0.50713,0.00010599,0.02043,69526521.0,0.25381,3.4,-84.70593,2018-01-07T00:00:00.000Z,0.00268621,19249.27011,2014-05-22T00:00:00.000Z
usd-coin,USD Coin,1.0,25908990808,6,5571671979,1.005,0.997146,0.0002817,0.02817,-37068065.85072708,-0.14287,1.17,-14.73916,2019-05-08T00:40:28.300Z,0.877647,13.92503,2023-03-11T08:02:13.981Z
staked-ether,Lido Staked Ether,1644.08,13707984807,7,53210243,1667.91,1601.73,-20.800637024992056,-1.24938,-94969241.9162445,-0.68804,4829.57,-65.95673,2021-11-10T14:40:47.256Z,482.9,240.47558,2020-12-22T04:08:21.854Z
cardano,Cardano,0.260013,9119958348,8,197614620,0.261076,0.250525,0.00024553,0.09452,26452646.0,0.2909,3.09,-91.56971,2021-09-02T06:00:10.474Z,0.01925275,1251.67982,2020-03-13T02:22:55.044Z
dogecoin,Dogecoin,0.063289,8923960066,9,381482875,0.064087,0.0605,0.0002549,0.40438,58847296.0,0.66381,0.731578,-91.33084,2021-05-08T05:08:23.458Z,8.69e-05,72879.21861,2015-05-06T00:00:00.000Z
solana,Solana,20.61,8424042500,10,468560257,21.05,19.66,-0.37323647774660174,-1.77833,-130100617.17897415,-1.52091,259.96,-92.06,2021-11-06T21:54:35.825Z,0.500801,4021.5482,2020-05-11T19:35:23.449Z
